id,name,island,kind,positioned,status,image
historic:la-grange-historic-district,La Grange Historic District,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:lameshur-plantation,Lameshur Plantation,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:liever-marches-bay-historic-district,Liever Marches Bay Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:lind-point-fort,Lind Point Fort,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:little-la-grange,Little La Grange,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:mafolie-great-house,Mafolie Great House,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:market-square-pladsen,Market Square (Pladsen),stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:mary-point-estate,Mary Point Estate,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:more-hill-historic-district,More Hill Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:new-herrnhut-moravian-church,New Herrnhut Moravian Church,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:peace-hill-ruins,Peace Hill Ruins,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:reef-bay-great-house-historic-district,Reef Bay Great House Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:reef-bay-sugar-factory-historic-district,Reef Bay Sugar Factory Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:reef-bay-sugar-mill,Reef Bay Sugar Mill,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:reformed-dutch-church-stt,"Reformed Dutch Church, St. Thomas",stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:richmond-prison-detention-and-workhouse,Richmond Prison Detention and Workhouse,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:rustenberg-plantation-south-historic-district,Rustenberg Plantation South Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:salt-river-bay-national-historic-site-and-ecological-preserve,Salt River Bay National Historic Site and Ecological Preserve,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:sion-hill,Sion Hill,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:slob-historic-district,Slob Historic District,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:sprat-hall-historic-district,Sprat Hall Historic District,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:st-johns-episcopal-church,St. John's Episcopal Church,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:st-thomas-synagogue,St. Thomas Synagogue,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:st-thomas-synagogue-beracha-veshalom-vegemiluth-hasadim,St. Thomas Synagogue-Beracha Veshalom Vegemiluth Hasadim,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:strawberry-hill-historic-district,Strawberry Hill Historic District,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:susannaberg-estate,Susannaberg Estate,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:trunk-bay-sugar-factory,Trunk Bay Sugar Factory,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:tutu-plantation-house,Tutu Plantation House,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:venus-hill,Venus Hill,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:whim,Whim,stx,historic,true,placeholder,/images/historic/placeholder.svg
