id,name,island,kind,candidateScore,candidateTitle,previewUrl,sourceUrl,creator,license,licenseUrl,decision
historic:bluebeards-castle-tower,Bluebeard's Castle Tower,stt,historic,,,,,,,,
historic:bordeaux,Bordeaux,stt,historic,,,,,,,,
historic:brown-bay-plantation-historic-district,Brown Bay Plantation Historic District,stj,historic,,,,,,,,
historic:catherineberg-jockumsdahl-herman-farm,Catherineberg-Jockumsdahl-Herman Farm,stj,historic,,,,,,,,
historic:charlotte-amalie-historic-district,Charlotte Amalie Historic District,stt,historic,,,,,,,,
historic:charlotte-amalie-historic-district-boundary-increase,Charlotte Amalie Historic District (Boundary Increase),stt,historic,,,,,,,,
historic:christiansted-historic-district,Christiansted Historic District,stx,historic,,,,,,,,
historic:christiansted-nhs-custom-house,Christiansted NHS Custom House,stx,historic,,,,,,,,
historic:christiansted-nhs-fort-christiansvaern,Christiansted NHS Fort Christiansvaern,stx,historic,,,,,,,,
historic:christiansted-nhs-scale-house,Christiansted NHS Scale House,stx,historic,,,,,,,,
historic:christiansted-nhs-steeple-building,Christiansted NHS Steeple Building,stx,historic,,,,,,,,
historic:cinnamon-bay-plantation,Cinnamon Bay Plantation,stj,historic,,,,,,,,
historic:cinnamon-bay-sugar-works,Cinnamon Bay Sugar Works,stj,historic,,,,,,,,
historic:coakley-bay-estate,Coakley Bay Estate,stx,historic,,,,,,,,
historic:cruz-bay-battery,Cruz Bay Battery,stj,historic,,,,,,,,
historic:cruz-bay-town-historic-district,Cruz Bay Town Historic District,stj,historic,,,,,,,,
historic:danish-west-india-and-guinea-company-warehouse,Danish West India and Guinea Company Warehouse,stx,historic,,,,,,,,
historic:dennis-bay-historic-district,Dennis Bay Historic District,stj,historic,,,,,,,,
historic:diamond-school,Diamond School,stx,historic,,,,,,,,
historic:east-end-schoolhouse-st-john-us-virgin-islands,East End Schoolhouse: St. John US Virgin Islands,stj,historic,,,,,,,,
historic:emancipation-garden,Emancipation Garden,stt,historic,,,,,,,,
historic:emmaus-moravian-church,Emmaus Moravian Church,stt,historic,,,,,,,,
historic:emmaus-moravian-church-and-manse,Emmaus Moravian Church and Manse,stj,historic,,,,,,,,
historic:enighed,Enighed,stj,historic,,,,,,,,
historic:estate-beverhoudt,Estate Beverhoudt,stj,historic,,,,,,,,
historic:estate-botany-bay,Estate Botany Bay,stt,historic,,,,,,,,
historic:estate-brewers-bay,Estate Brewers Bay,stt,historic,,,,,,,,
historic:estate-butlers-bay,Estate Butler's Bay,stx,historic,,,,,,,,
historic:estate-carolina-sugar-plantation,Estate Carolina Sugar Plantation,stj,historic,,,,,,,,
historic:estate-grove-place,Estate Grove Place,stx,historic,,,,,,,,
historic:estate-hafensight,Estate Hafensight,stt,historic,,,,,,,,
