index,id,name,type,island,confidence,bucket,officialAuditSampled,candidateName,candidateSource,candidateLat,candidateLng,reason
2310,st_thomas-point-shelf-point,Shelf Point,point,st_thomas,none,research_clean_name_no_candidate,false,HULL,geographic_index,18.367754652070353,-64.95262479216476,weak_similarity
2311,st_thomas-bay-shipley-battery,Shipley Battery,bay,st_thomas,none,research_clean_name_no_candidate,false,KINGS' QUARTER,geographic_index,18.341951771996698,-64.92744649382395,weak_similarity
2312,st_thomas-island-shipley-battery,Shipley Battery,island,st_thomas,none,research_clean_name_no_candidate,false,KINGS' QUARTER,geographic_index,18.341951771996698,-64.92744649382395,weak_similarity
2313,st_thomas-battery-shipley-battery,Shipley Battery,battery,st_thomas,none,research_clean_name_no_candidate,false,CATHERINEBERG,geographic_index,18.3450964261188,-64.93264931271824,weak_similarity
2314,st_croix-estate-shipley-hill,Shipley Hill,estate,st_croix,none,research_clean_name_no_candidate,false,Annaly Hill,geographic_index,17.75136,-64.85515,weak_similarity
2315,st_thomas-estate-shop,Shop,estate,st_thomas,none,generic_fragment_do_not_coordinate,false,HOPE,geographic_index,18.3626612187422,-65.001633113491,weak_similarity
2317,st_croix-point-shoy-washer-point,Shoy Washer Point,point,st_croix,none,research_clean_name_no_candidate,false,SHOYS,geographic_index,17.756881054978102,-64.68080993897975,weak_similarity
2320,st_john-bay-sibbe-bay,Sibbe Bay,bay,st_john,none,research_clean_name_no_candidate,false,SIEBEN,geographic_index,18.33083556385315,-64.76140560058866,weak_similarity
2326,st_croix-estate-signal-hill,Signal Hill,estate,st_croix,none,research_clean_name_no_candidate,false,SION HILL,geographic_index,17.7413533677827,-64.7466808919266,weak_similarity
2327,st_thomas-battery-signal-hill-battery,Signal Hill Battery,battery,st_thomas,none,research_clean_name_no_candidate,false,Bethesda Hill,geographic_index,18.3559062831591,-65.00835365155365,weak_similarity
2328,st_thomas-hill-signal-hill-trail,Signal Hill Trail,hill,st_thomas,none,research_clean_name_no_candidate,false,Honduras Hill or Gallows Hill,geographic_index,18.3364577625297,-64.94284931506209,weak_similarity
2331,st_thomas-point-skipper-jaeob-rock,Skipper Jaeob Rock,point,st_thomas,none,research_clean_name_no_candidate,false,UPPER JOHN DUNKO,geographic_index,18.3468398283624,-64.9513046384204,weak_similarity
2334,st_thomas-estate-slob,Slob,estate,st_thomas,none,generic_fragment_do_not_coordinate,false,STAABI,geographic_index,18.34908224179825,-64.9388313298573,weak_similarity
2335,st_thomas-estate-slob-bay,Slob Bay,estate,st_thomas,none,research_clean_name_no_candidate,false,STAABI,geographic_index,18.34908224179825,-64.9388313298573,weak_similarity
2336,st_croix-estate-slob-estate,Slob Estate,estate,st_croix,none,research_clean_name_no_candidate,false,BODY SLOB,geographic_index,17.73581643988735,-64.7763236519917,weak_similarity
2340,st_thomas-estate-smiths-field,Smith’s Field,estate,st_thomas,review,review_candidate,false,SMITH BAY,geographic_index,18.335278251441,-64.86171891676014,contains_clean_slug
2341,st_thomas-estate-smithbay,Smithbay,estate,st_thomas,review,review_candidate,false,SMITH BAY,geographic_index,18.335278251441,-64.86171891676014,contains_clean_slug
2342,st_croix-estate-smithfleld,Smithfleld,estate,st_croix,none,ocr_or_name_cleanup_first,false,SPRINGFIELD,geographic_index,17.73250369215545,-64.83460195498935,weak_similarity
2343,st_thomas-point-smiths-punt,Smiths Punt,point,st_thomas,review,ocr_or_name_cleanup_first,false,SMITH BAY,geographic_index,18.335278251441,-64.86171891676014,contains_clean_slug
2344,st_thomas-bay-sndth8-bay-point,Sndth'8 Bay Point,bay,st_thomas,none,ocr_or_name_cleanup_first,false,Smith Bay Road,geographic_index,18.335278251441,-64.86171891676014,weak_similarity
2345,st_thomas-bay-snelfelt-bay,Snelfelt Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,SOLBERG,geographic_index,18.3502071369676,-64.94474322134475,weak_similarity
2346,st_john-estate-sngarmill-hill,Sng'armill Hill,estate,st_john,none,research_clean_name_no_candidate,false,Caneel Hill,geographic_index,18.34305825172645,-64.7874874960091,weak_similarity
2348,st_thomas-estate-snint-george,Snint George,estate,st_thomas,none,research_clean_name_no_candidate,false,WINTBERG,geographic_index,18.3499803674524,-64.90399697526581,weak_similarity
2351,st_croix-estate-soldier-bay,Soldier Bay,estate,st_croix,none,research_clean_name_no_candidate,false,SALT RIVER,geographic_index,17.774191067180702,-64.7642277944249,weak_similarity
2352,st_john-estate-soldier-hill,Soldier Hill,estate,st_john,none,research_clean_name_no_candidate,false,Leinster Hill,geographic_index,18.36092071796525,-64.71843131202445,weak_similarity
2355,st_thomas-estate-solitude-bay,Solitude Bay,estate,st_thomas,none,research_clean_name_no_candidate,false,FORTUNA,geographic_index,18.34910707085145,-65.0142865514324,weak_similarity
2358,st_thomas-estate-sorgenfri-glut,Sorgenfri Glut,estate,st_thomas,none,research_clean_name_no_candidate,false,SORGENFRI EASTERN PORTION,geographic_index,18.367491600136248,-64.98491852585181,weak_similarity
2359,st_thomas-hill-sorgenfri-hill,Sorgenfri Hill,hill,st_thomas,none,research_clean_name_no_candidate,false,Bethesda Hill,geographic_index,18.3559062831591,-65.00835365155365,weak_similarity
2360,st_thomas-point-sorgenfri-ridge,Sorgenfri Ridge,point,st_thomas,none,research_clean_name_no_candidate,false,SORGENFRI EASTERN PORTION,geographic_index,18.367491600136248,-64.98491852585181,weak_similarity
2366,st_croix-estate-south-bay,South Bay,estate,st_croix,review,review_candidate,false,BONNE ESPERANCE (SOUTH),geographic_index,17.74356362461915,-64.7692203635706,contains_clean_slug
2369,st_thomas-estate-southgate-farm,Southgate Farm,estate,st_thomas,none,research_clean_name_no_candidate,false,CONTANT 7A,geographic_index,18.34442312704015,-64.95865161016525,weak_similarity
2372,st_croix-estate-southgate-plain,Southgate Plain,estate,st_croix,none,research_clean_name_no_candidate,false,SOUTHGATE FARM,geographic_index,17.75329505651455,-64.66309280141385,weak_similarity
2374,st_thomas-point-southside,Southside,point,st_thomas,none,research_clean_name_no_candidate,false,BETHESDA,geographic_index,18.3559062831591,-65.00835365155365,weak_similarity
2375,st_thomas-point-southside-k-a-b,Southside k a b,point,st_thomas,none,ocr_or_name_cleanup_first,false,Sapphire Beach,geographic_index,18.3348,-64.8493,weak_similarity
